JWF Variation,JWF File,Status,Classification,Practical Params,Notes
dCTriangle,DCTriangleFunc.java,NOT_VIABLE,DC; init(),,
dCZTransl,DCZTranslFunc.java,NOT_VIABLE,3D; init(),,
dC_Acrilic,DC_AcrilicFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Apollonian,DC_ApollonianFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Base,DC_BaseFunc.java,NOT_VIABLE,init(),,
dC_Booleans,DC_BooleansFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Buterflies,DC_ButerfliesFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_CairoTiles,DC_CairoTilesFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_CirclesBlue,DC_CirclesBlueFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Circuits,DC_CircuitsFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Code,DC_CodeFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Ducks,DC_DucksFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_FingerPrint,DC_FingerPrintFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_FractColor,DC_FractColorFunc.java,NOT_VIABLE,DC/Color,,
dC_FractalDots,DC_FractalDotsFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_GaborNoise,DC_GaborNoiseFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_GenericMandelbroot,DC_GenericMandelbrootFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Glypho,DC_GlyphoFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Grid3D,DC_Grid3DFunc.java,NOT_VIABLE,3D,,
dC_Hexagons,DC_HexagonsFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Hoshi,DC_HoshiFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Hyperbolic,DC_HyperbolicFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Inversion,DC_InversionFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_KaleidoComplex,DC_KaleidoComplexFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Kaleidoscopic,DC_KaleidoscopicFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_KaliSet,DC_KaliSetFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_KaliSet2,DC_KaliSet2Func.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Layers,DC_LayersFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_MandBrot,DC_MandBrotFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Mandala,DC_MandalaFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_MandelBox2D,DC_MandelBox2DFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Menger,DC_MengerFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_MoebiusLog,DC_MoebiusLogFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_PentaTiles,DC_PentaTilesFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_PoincareDisc,DC_PoincareDiscFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Portal,DC_PortalFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Quadtree,DC_QuadtreeFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_RandomOctree,DC_RandomOctreeFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Rotations,DC_RotationsFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Spacefold,DC_SpacefoldFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Squares,DC_SquaresFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_StarsField,DC_StarsFieldFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_SunFlower,DC_SunFlowerFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Tesla,DC_TeslaFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Tree,DC_TreeFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_TrianTess,DC_TrianTessFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Truchet,DC_TruchetFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Turbulence,DC_TurbulenceFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Voronoise,DC_VoronoiseFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dC_Vortex,DC_VortexFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Warping,DC_WarpingFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
dC_Worley,DC_WorleyFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
dLA3DWF,DLA3DWFFunc.java,NOT_VIABLE,3D; DC/Color,,
dLAWF,DLAWFFunc.java,NOT_VIABLE,DC/Color,,
dSpherical,DSphericalFunc.java,EXISTS,,,
deStijl,DeStijlFunc.java,NOT_VIABLE,DC,,
deltaA,DeltaAFunc.java,EXISTS,,,
devilWarp,DevilWarpFunc.java,EXISTS,,,
diamond,DiamondFunc.java,EXISTS,,,
dinisSurfaceWF,DinisSurfaceWFFunc.java,NOT_VIABLE,DC/Color,,
disc,DiscFunc.java,EXISTS,,,
disc2,Disc2Func.java,EXISTS,,,
disc3,Disc3Func.java,EXISTS,,,
disc3D,Disc3DFunc.java,NOT_VIABLE,3D,,
displacementMapWF,DisplacementMapWFFunc.java,NOT_VIABLE,DC/Color,,
dragon,DragonFunc.java,EXISTS,,,
drunkenTiles,DrunkenTilesFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(45),,
ducks,DucksFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION; init(),,
dustPoint,DustPointFunc.java,NOT_VIABLE,BASE_SHAPE; SIMULATION,,
eCollide,ECollideFunc.java,NOT_VIABLE,init(),,
eDisc,EDiscFunc.java,VIABLE,VIABLE,0,
eJulia,EJuliaFunc.java,NOT_VIABLE,init(),,
eMod,EModFunc.java,EXISTS,,,
eMotion,EMotionFunc.java,EXISTS,,,
ePush,EPushFunc.java,EXISTS,,,
eRotate,ERotateFunc.java,EXISTS,,,
eScale,EScaleFunc.java,EXISTS,,,
eSwirl,ESwirlFunc.java,EXISTS,,,
eclipse,EclipseFunc.java,EXISTS,,,
ellipsoid3D,Ellipsoid3DFunc.java,NOT_VIABLE,3D,,
elliptic,EllipticFunc.java,EXISTS,,,
elliptic2,Elliptic2Func.java,EXISTS,,,
ennepers,EnnepersFunc.java,VIABLE,VIABLE,0,
ennepers2,Ennepers2Func.java,NOT_VIABLE,3D,,
epispiral,EpispiralFunc.java,EXISTS,,,
epispiralWF,EpispiralWFFunc.java,NOT_VIABLE,DC/Color,,
erf,ErfFunc.java,EXISTS,,,
erf3D,Erf3DFunc.java,NOT_VIABLE,3D,,
escher,EscherFunc.java,EXISTS,,,
estiq,EstiqFunc.java,NOT_VIABLE,3D,,
ex,ExFunc.java,EXISTS,,,
exBlur,ExBlurFunc.java,NOT_VIABLE,BLUR; init(),,
exp,ExpFunc.java,EXISTS,,,
exp2_BS,Exp2_BSFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(9),,
expMulti,ExpMultiFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(24),,
exponential,ExponentialFunc.java,EXISTS,,,
extrude,ExtrudeFunc.java,VIABLE,VIABLE,3,
eyefish,EyefishFunc.java,EXISTS,,,
fDisc,FDiscFunc.java,NOT_VIABLE,TOO_MANY_PARAMS(24),,
f_Complex,F_ComplexFunc.java,NOT_VIABLE,DC; SIMULATION; init(),,
falloff2,Falloff2Func.java,NOT_VIABLE,DC/Color,,
falloff3,Falloff3Func.java,NOT_VIABLE,DC/Color,,
fan,FanFunc.java,EXISTS,,,
fan2,Fan2Func.java,EXISTS,,,
farBlur,FarBlurFunc.java,NOT_VIABLE,BLUR; init(),,
fibonacci2,Fibonacci2Func.java,EXISTS,,,
fisheye,FisheyeFunc.java,EXISTS,,,
flatten,FlattenFunc.java,VIABLE,VIABLE,0,
flipCircle,FlipCircleFunc.java,VIABLE,VIABLE,0,
flipY,FlipYFunc.java,VIABLE,VIABLE,0,
flora,FloraFunc.java,EXISTS,,,
flower,FlowerFunc.java,EXISTS,,,
flowerDb,FlowerDbFunc.java,NOT_VIABLE,init(),,
flux,FluxFunc.java,EXISTS,,,
foci,FociFunc.java,EXISTS,,,
foci_3D,Foci_3DFunc.java,NOT_VIABLE,3D,,
fourth,FourthFunc.java,EXISTS,,,
fractDragonWF,FractDragonWFFunc.java,NOT_VIABLE,DC/Color,,
fractFormulaJuliaWF,FractFormulaJuliaWFFunc.java,NOT_VIABLE,DC/Color,,
fractFormulaMandWF,FractFormulaMandWFFunc.java,NOT_VIABLE,DC/Color,,
fractJuliaWF,FractJuliaWFFunc.java,NOT_VIABLE,DC/Color,,
fractMandelbrotWF,FractMandelbrotWFFunc.java,NOT_VIABLE,DC/Color,,
fractMeteorsWF,FractMeteorsWFFunc.java,NOT_VIABLE,DC/Color,,
fractPearlsWF,FractPearlsWFFunc.java,NOT_VIABLE,DC/Color,,
fractSalamanderWF,FractSalamanderWFFunc.java,NOT_VIABLE,DC/Color,,
fresnel,FresnelFunc.java,EXISTS,,,
funnel,FunnelFunc.java,EXISTS,,,
gDOffs,GDOffsFunc.java,NOT_VIABLE,init(),,
gLSL,GLSLFunc.java,NOT_VIABLE,init(),,
gLSLAcrilic,GLSLAcrilicFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLApollonian,GLSLApollonianFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLBase,GLSLBaseFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
gLSLCirclesBlue,GLSLCirclesBlueFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLCircuits,GLSLCircuitsFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLFractalDots,GLSLFractalDotsFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLGrid3D,GLSLGrid3DFunc.java,NOT_VIABLE,3D,,
gLSLHoshi,GLSLHoshiFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
gLSLHyperbolic,GLSLHyperbolicFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLKaleidoComplex,GLSLKaleidoComplexFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLKaleidoscopic,GLSLKaleidoscopicFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLKaliSet,GLSLKaliSetFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLKaliSet2,GLSLKaliSet2Func.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLMandala,GLSLMandalaFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION; init(),,
gLSLMandelBox2D,GLSLMandelBox2DFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
gLSLRandomOctree,GLSLRandomOctreeFunc.java,NOT_VIABLE,DC; BASE_SHAPE; SIMULATION,,
